xDate,xHour,REGION,MICRO_CLUSTER,Subscluster,CLUSTER2b,site_id,BSC_ID,BCF_ID,BTS_ID,CELL_ID,BAND,tch_avail,TBF_DROP,CSSR,gsm_data_total_traffic_DL,Drop_Call_Rate_2,TCH_Traffic_trf_24c,HOSR,TASR,SDCCH_DROP,DLQUAL0_5,ULQUAL0_5,Date_hour,id
2021-04-15 00:00:00,0 days 06:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2333,44353,900,100.0,0.55,94.0,289.73,0.0,0.59,100.0,100.0,6.0,99.86,99.67,2021-04-15 06:00:00,44353
2021-04-15 00:00:00,0 days 07:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2331,44351,900,100.0,0.0,66.67,170.6,0.0,0.03,,100.0,33.33,100.0,100.0,2021-04-15 07:00:00,44351
2021-04-15 00:00:00,0 days 07:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2332,44352,900,100.0,5.71,92.0,102.33,0.0,0.01,,100.0,8.0,98.18,100.0,2021-04-15 07:00:00,44352
2021-04-15 00:00:00,0 days 07:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2333,44353,900,100.0,0.4,95.0,45.16,0.0,0.08,,100.0,5.0,100.0,78.52,2021-04-15 07:00:00,44353
2021-04-15 00:00:00,0 days 08:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2331,44351,900,100.0,0.0,100.0,1.23,0.0,0.08,100.0,100.0,0.0,93.17,95.12,2021-04-15 08:00:00,44351
2021-04-15 00:00:00,0 days 08:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2332,44352,900,100.0,0.0,98.31,0.29,0.0,0.13,100.0,100.0,1.69,97.69,100.0,2021-04-15 08:00:00,44352
2021-04-15 00:00:00,0 days 08:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2333,44353,900,100.0,3.39,98.41,12.98,0.0,0.87,,100.0,1.59,100.0,96.52,2021-04-15 08:00:00,44353
2021-04-15 00:00:00,0 days 09:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2331,44351,900,100.0,0.0,100.0,0.67,0.0,0.06,,100.0,0.0,100.0,93.12,2021-04-15 09:00:00,44351
2021-04-15 00:00:00,0 days 09:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2332,44352,900,100.0,3.85,94.12,6.63,0.0,0.22,100.0,100.0,3.03,98.33,99.49,2021-04-15 09:00:00,44352
2021-04-15 00:00:00,0 days 09:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2333,44353,900,100.0,1.12,98.25,12.89,0.0,1.16,100.0,100.0,1.75,99.87,98.5,2021-04-15 09:00:00,44353
2021-04-15 00:00:00,0 days 10:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2331,44351,900,100.0,0.0,,0.29,,0.0,,,0.0,,,2021-04-15 10:00:00,44351
2021-04-15 00:00:00,0 days 10:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2332,44352,900,100.0,0.0,107.14,0.54,0.0,0.0,,100.0,0.0,,,2021-04-15 10:00:00,44352
2021-04-15 00:00:00,0 days 10:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2333,44353,900,100.0,1.04,98.36,346.44,0.0,0.44,,100.0,1.64,100.0,99.9,2021-04-15 10:00:00,44353
2021-04-15 00:00:00,0 days 11:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2331,44351,900,100.0,0.14,,531.32,,0.0,,,0.0,,,2021-04-15 11:00:00,44351
2021-04-15 00:00:00,0 days 11:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2332,44352,900,100.0,1.69,97.14,9.25,0.0,0.06,100.0,100.0,0.0,99.18,100.0,2021-04-15 11:00:00,44352
2021-04-15 00:00:00,0 days 11:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2333,44353,900,100.0,0.0,98.46,8.0,0.0,1.14,100.0,100.0,1.54,99.94,99.46,2021-04-15 11:00:00,44353
2021-04-15 00:00:00,0 days 12:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2331,44351,900,100.0,0.07,100.0,1318.39,,0.01,100.0,100.0,0.0,76.92,100.0,2021-04-15 12:00:00,44351
2021-04-15 00:00:00,0 days 12:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2332,44352,900,100.0,3.28,102.94,4.62,0.0,0.54,100.0,100.0,0.0,96.77,100.0,2021-04-15 12:00:00,44352
2021-04-15 00:00:00,0 days 12:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2333,44353,900,100.0,0.0,100.0,388.58,0.0,0.13,,100.0,0.0,99.66,96.95,2021-04-15 12:00:00,44353
2021-04-15 00:00:00,0 days 13:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2331,44351,900,100.0,0.11,100.0,1075.77,0.0,0.01,,100.0,0.0,87.5,100.0,2021-04-15 13:00:00,44351
